id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
601,harder part job working 24 hrs wout sleep fun fact love work dedicated every day routine talking serving costumer,giordano,sales staff,lipa city batangas,harder part job working 24 hrs wout sleep fun fact love work dedicated every day routine talking serving costumer sales staff giordano lipa city batangas
602,pro active enjoy work havebe team player co workersif lack experience willing learn able gain experiences high sales,giordano,sales associate/cashier,dubai,pro active enjoy work havebe team player co workersif lack experience willing learn able gain experiences high sales sales associate/cashier giordano dubai
603,work environment fun enjoyable management supportive gives best employee coworkers friendly always team work business,giordano,visual merchandiser,"manila, p00","work environment fun enjoyable management supportive gives best employee coworkers friendly always team work business visual merchandiser giordano manila, p00"
604,first day work feel uncomfortable dont know knew names personalities characterestics days goes become friends shared everything learned earning mony simple sometimes encounter terror customers youll get insulted first convinced buy product hardest part employee sometimes friends meet many customers youll pursue love job,giordano,sales associate,davao city,first day work feel uncomfortable dont know knew names personalities characterestics days goes become friends shared everything learned earning mony simple sometimes encounter terror customers youll get insulted first convinced buy product hardest part employee sometimes friends meet many customers youll pursue love job sales associate giordano davao city
605,worked near ten hours per day meaningful glad met good colleagues keep contract till job need non stop work may lead feel tired everyday enjoy job find joyfulness inside,giordano,shop assistance,kwai fong,worked near ten hours per day meaningful glad met good colleagues keep contract till job need non stop work may lead feel tired everyday enjoy job find joyfulness inside shop assistance giordano kwai fong
606,one thing id like work feel team work learned lot management good fair enough first time work sales associatestaff know leave job learn enhance knowledge skills customer service im thankful job give strong confident,giordano,sales associate / sales staff,philippines,one thing id like work feel team work learned lot management good fair enough first time work sales associatestaff know leave job learn enhance knowledge skills customer service im thankful job give strong confident sales associate / sales staff giordano philippines
607,learned proper engagement towards customers understand need measured performance productive enjoyed lot meet many friends workplace management taught brand processes hardest part job relocation takes place away family,giordano,sales assistant / store keeper,philippines,learned proper engagement towards customers understand need measured performance productive enjoyed lot meet many friends workplace management taught brand processes hardest part job relocation takes place away family sales assistant / store keeper giordano philippines
608,memory meeting every day set sales target colleagues work hard every day sales targetlet know power team biggest allthe construction team importantgiordano strict humanized managementthe biggest difficulty giordano work time languageis enjoyable volume target issue bonuses paly basketball bbq wish colleagues onso let relax time learn english better,giordano,shop manager,singapore,memory meeting every day set sales target colleagues work hard every day sales targetlet know power team biggest allthe construction team importantgiordano strict humanized managementthe biggest difficulty giordano work time languageis enjoyable volume target issue bonuses paly basketball bbq wish colleagues onso let relax time learn english better shop manager giordano singapore
609,peinture la chaine avec robot ou pistolet godet airless,giordano,peintre industriel,"aubagne, b8","peinture la chaine avec robot ou pistolet godet airless peintre industriel giordano aubagne, b8"
610,focus sales assist convince customers itemto take care regular customers keep assigned area clean organize aside also learned trust anyone avoid victim modus shoplifters hardest part pressure sales coworkers great friendly enjoyable part job,giordano,sales associate,sm pampanga,focus sales assist convince customers itemto take care regular customers keep assigned area clean organize aside also learned trust anyone avoid victim modus shoplifters hardest part pressure sales coworkers great friendly enjoyable part job sales associate giordano sm pampanga
611,basic day job freedom work style open communication appreciated hard work merited good leader built brand region departments like families working together environment taxing one complete responsibilities much relaxed manner,giordano,senior executive h.r,dubai,basic day job freedom work style open communication appreciated hard work merited good leader built brand region departments like families working together environment taxing one complete responsibilities much relaxed manner senior executive h.r giordano dubai
612,good place work learn coworkers really helpful first job learning stage,giordano,sales executive,"dubai, du","good place work learn coworkers really helpful first job learning stage sales executive giordano dubai, du"
613,assist customersive learned idealisticregarding management much strike coworkers fine everyday hardest part bec superior treat usi never feel enjoy maybe break time duty much srtressful,giordano,sales consultant,makati city,assist customersive learned idealisticregarding management much strike coworkers fine everyday hardest part bec superior treat usi never feel enjoy maybe break time duty much srtressful sales consultant giordano makati city
614,alright best worst pay rate could better ok,giordano,garbage truck helper,"newark, nj","alright best worst pay rate could better ok garbage truck helper giordano newark, nj"
615,good firm many attorneys lot knowledge young associate gain experience,giordano,corporate and ip summer associate,"red bank, nj","good firm many attorneys lot knowledge young associate gain experience corporate and ip summer associate giordano red bank, nj"
616,petite pme mais avec du potentiel dommage sur le declin mais apprend beaucoup,giordano,monteur soudeur,"aubagne, b8","petite pme mais avec du potentiel dommage sur le declin mais apprend beaucoup monteur soudeur giordano aubagne, b8"
617,giordano tell us work giordano handle job job difficult,giordano,salesman and promoter,"jeddah, saudi arabia","giordano tell us work giordano handle job job difficult salesman and promoter giordano jeddah, saudi arabia"
618,• assists customers make comfortable looking stuff • cashiering • maintains shop order arranges displays utmost elegance • checks inventory items specially delivery • imparts necessary training new staffs,giordano,sales associate,phillippines,• assists customers make comfortable looking stuff • cashiering • maintains shop order arranges displays utmost elegance • checks inventory items specially delivery • imparts necessary training new staffs sales associate giordano phillippines
619,given ample opportunities explore strengths developed many skills including negotiation team small dedicated tight fisted terms remunerations,giordano,area sales manager,"chennai, india","given ample opportunities explore strengths developed many skills including negotiation team small dedicated tight fisted terms remunerations area sales manager giordano chennai, india"
620,lavoro buono stressante salario ottimo colleghi simpatici,giordano,telemarketing,"valle talloria, pie","lavoro buono stressante salario ottimo colleghi simpatici telemarketing giordano valle talloria, pie"
621,dont much say part company 3 months temporary,giordano,sales executive,"dubai, du","dont much say part company 3 months temporary sales executive giordano dubai, du"
622,good brand learned many things brandmanagment good managmentcustomers,giordano,fashion consultant,bangalore,good brand learned many things brandmanagment good managmentcustomers fashion consultant giordano bangalore
623,ambiente normal siempre dificultades con las personas con mas tiempo de trabajo en dicha empresa aprendi ser tolerante dinamica dejar que nada afecte con mucha cordinacion un buen trato con el cliente,giordano,cajero,"arequipa, are","ambiente normal siempre dificultades con las personas con mas tiempo de trabajo en dicha empresa aprendi ser tolerante dinamica dejar que nada afecte con mucha cordinacion un buen trato con el cliente cajero giordano arequipa, are"
624,first part time job entered adult work eye opener teaches customers relationship product knowledge seniors friendly willing spend time teaching things understand,isetann department store,sales assistant,orchard,first part time job entered adult work eye opener teaches customers relationship product knowledge seniors friendly willing spend time teaching things understand sales assistant isetann department store orchard
625,must say thankful company first job serve training ground everything become store cashier ive learned training actual duty people helpful approachablethey give necessary benefits security needed certain place good well,isetann department store,cashier,manila,must say thankful company first job serve training ground everything become store cashier ive learned training actual duty people helpful approachablethey give necessary benefits security needed certain place good well cashier isetann department store manila
626,relaxed enjoy employees sociable teamwork dont feel working really enjoyable workmates,isetann department store,sales lady,quezon city,relaxed enjoy employees sociable teamwork dont feel working really enjoyable workmates sales lady isetann department store quezon city
627,good manager manager lazy hope future good manager knowledge someone need improve skill managing times surbodinate teamwork,isetann department store,sr. sales supervisor,kuala lumpur,good manager manager lazy hope future good manager knowledge someone need improve skill managing times surbodinate teamwork sr. sales supervisor isetann department store kuala lumpur
628,selling time enjoying costumers fun deal isetann also costumer card get discounts avail items using,isetann department store,sales person,manila,selling time enjoying costumers fun deal isetann also costumer card get discounts avail items using sales person isetann department store manila
629,company focuses sales teach business industry always peak time sales stays middle goes month goes tooits handle make decisions handle,isetann department store,merchandising clerk,manila,company focuses sales teach business industry always peak time sales stays middle goes month goes tooits handle make decisions handle merchandising clerk isetann department store manila
630,company make career better successful company gives opportunity people especially lower education recommend company everyone willing work build career,isetann department store,cash clerk,manila,company make career better successful company gives opportunity people especially lower education recommend company everyone willing work build career cash clerk isetann department store manila
631,company rules regulations strict well implemented rules made follow sanction given violators managers known well respected job level rank file common employees office personnel regularized compare selling personnel many eyes watching everything items bring log small notebook check going home policy attendance important,isetann department store,materials department,carriedo,company rules regulations strict well implemented rules made follow sanction given violators managers known well respected job level rank file common employees office personnel regularized compare selling personnel many eyes watching everything items bring log small notebook check going home policy attendance important materials department isetann department store carriedo
632,manegment give chance learn work company co worker every time ’ going work learn everyday different strategies work good work like family enjoy working company,isetann department store,stock clerk,philippines,manegment give chance learn work company co worker every time ’ going work learn everyday different strategies work good work like family enjoy working company stock clerk isetann department store philippines
633,productive learned lot process knowledge managing team tested good experience say exercisedused knowledge criminologist,isetann department store,"key custodian, in charged on every day security routine.",manila,"productive learned lot process knowledge managing team tested good experience say exercisedused knowledge criminologist key custodian, in charged on every day security routine. isetann department store manila"
634,first company worked ofw singapore given chance work retail even without retail experience,isetann department store,floor supervisor,carriedo manila,first company worked ofw singapore given chance work retail even without retail experience floor supervisor isetann department store carriedo manila
635,easiest company ive worked coworkers friendly also manager encouraged us work hard family supervisor true meaning leadership ambiance place nice also environment really good,isetann department store,cashier - supermarket,"gateway mall araneta center, cubao, quezon city","easiest company ive worked coworkers friendly also manager encouraged us work hard family supervisor true meaning leadership ambiance place nice also environment really good cashier - supermarket isetann department store gateway mall araneta center, cubao, quezon city"
636,much learn near city visit mall anytime work buy grocery lowest price boss kind approachable,isetann department store,manager,manila,much learn near city visit mall anytime work buy grocery lowest price boss kind approachable manager isetann department store manila
637,working isetann department store challenging coordinate different department update reports needed make financial statements,isetann department store,bookkeeper,manila,working isetann department store challenging coordinate different department update reports needed make financial statements bookkeeper isetann department store manila
638,productive fun workplace good management friendly work office hours must perform least one afternoon shift colleagues friendly work team enjoyable part job hardest part work ph sometimes,isetann department store,merchandising manager,kuala lumpur,productive fun workplace good management friendly work office hours must perform least one afternoon shift colleagues friendly work team enjoyable part job hardest part work ph sometimes merchandising manager isetann department store kuala lumpur
639,salary enough interest mainly experience fresh grad good attendance essential regularization want stay long company,isetann department store,junior auditor,manila,salary enough interest mainly experience fresh grad good attendance essential regularization want stay long company junior auditor isetann department store manila
640,saya pekerja contractdan contract saya di tamat kandan tidak sambunggaji permulaan kecilsaya mengharapkan saya dapat kerja tetap tetapi tidak dapatdan kerana ada permasalahan keciltidak dapat di rinsing,isetann department store,sales associate/cashier,kuala lumpur,saya pekerja contractdan contract saya di tamat kandan tidak sambunggaji permulaan kecilsaya mengharapkan saya dapat kerja tetap tetapi tidak dapatdan kerana ada permasalahan keciltidak dapat di rinsing sales associate/cashier isetann department store kuala lumpur
641,learn many things ang babait ng mga tao hindi ka pababayaan tuturuan ka hands talaga sila lalo sa mga fresh grad medyo strict better naman,isetann department store,department clerk,manila,learn many things ang babait ng mga tao hindi ka pababayaan tuturuan ka hands talaga sila lalo sa mga fresh grad medyo strict better naman department clerk isetann department store manila
642,working salesperson must always focus customers whatever happensalways wear smile even customer hates service right eyes must talk back customers succomb make product look budget saver timepresentable,isetann department store,salesperson,carriedo,working salesperson must always focus customers whatever happensalways wear smile even customer hates service right eyes must talk back customers succomb make product look budget saver timepresentable salesperson isetann department store carriedo
643,work learn deal many types people learn patient enhance knowledge selling productive learn communicate people,isetann department store,sales associate,"manila, ph","work learn deal many types people learn patient enhance knowledge selling productive learn communicate people sales associate isetann department store manila, ph"
644,bad working hours benefitsno bonusaws split 2 months increment yet super strict flexibility career progression turn rate extremely high especially safety security department place would want work longterm working hours exceed 15 hours sure mom knows salary low basic theres ever bouns based basic allowance 870,isetann department store,security officer,scotts,bad working hours benefitsno bonusaws split 2 months increment yet super strict flexibility career progression turn rate extremely high especially safety security department place would want work longterm working hours exceed 15 hours sure mom knows salary low basic theres ever bouns based basic allowance 870 security officer isetann department store scotts
645,promoter job communicate customer see different type customer manage communicate every customer,isetann department store,promoter,kuala lumpur,promoter job communicate customer see different type customer manage communicate every customer promoter isetann department store kuala lumpur
646,hired trusted though lack experience position started great interesting tasks gained useful experience 3 years though kinda glad go,isetann department store,warehouse supervisor,"manila, philippines","hired trusted though lack experience position started great interesting tasks gained useful experience 3 years though kinda glad go warehouse supervisor isetann department store manila, philippines"
647,nice place work complete office appliances good office mates boss good salaryi learned prepare checks releasing checks,isetann department store,check preparation clerk,manila,nice place work complete office appliances good office mates boss good salaryi learned prepare checks releasing checks check preparation clerk isetann department store manila
648,company doesnt give win win situation benefits go company become regular employee need 1 year probi period,isetann department store,accounting staff,accounting,company doesnt give win win situation benefits go company become regular employee need 1 year probi period accounting staff isetann department store accounting
649,japanese customer service extremely important work ethics reinforced environment im grateful experience feel excellence field customer service sales company worldwide standard,isetann department store,sales associate,東京都,japanese customer service extremely important work ethics reinforced environment im grateful experience feel excellence field customer service sales company worldwide standard sales associate isetann department store 東京都
650,days relaxed stressful lot deadlines enjoyable fun co employees learned lot company learned devote dutieswork time make ahead deadlines even without pays learned team works responsible,isetann department store,payroll clerk,"recto, manila","days relaxed stressful lot deadlines enjoyable fun co employees learned lot company learned devote dutieswork time make ahead deadlines even without pays learned team works responsible payroll clerk isetann department store recto, manila"
651,job never forget skills communication purely developedi could say improve exercise community relation skills personal interaction customer,isetann department store,salesperson,"cubao, quezon city","job never forget skills communication purely developedi could say improve exercise community relation skills personal interaction customer salesperson isetann department store cubao, quezon city"
652,im one keep records security guards duty update guns issued regarding licences ensures license yet expired,isetann department store,payroll clerk,manila,im one keep records security guards duty update guns issued regarding licences ensures license yet expired payroll clerk isetann department store manila
653,management good guide assist thier employee mostly trainee paymet salary good give day exact date said contract,isetann department store,sales clerk,recto,management good guide assist thier employee mostly trainee paymet salary good give day exact date said contract sales clerk isetann department store recto
654,allows interact people know different brand ’ offer nice work mates good working environment good place gain experience retail line,isetann department store,sales assistant,orchard,allows interact people know different brand ’ offer nice work mates good working environment good place gain experience retail line sales assistant isetann department store orchard
655,listed company lots learning opportunities work location near central town accessible via havelock mrt soon downtown line ready,isetann department store,deputy finance manager,havelock road,listed company lots learning opportunities work location near central town accessible via havelock mrt soon downtown line ready deputy finance manager isetann department store havelock road
656,supervisors friendly understanding able learn coworkers nice environment store room friendly sales staff mingle walking distance shopping centres orchard,isetann department store,store assistant,"iredell county, nc","supervisors friendly understanding able learn coworkers nice environment store room friendly sales staff mingle walking distance shopping centres orchard store assistant isetann department store iredell county, nc"
657,place accessible benefits compensation fair management treats employees fairly happy workplace employees friendly nice work,isetann department store,internal audit staff,manila,place accessible benefits compensation fair management treats employees fairly happy workplace employees friendly nice work internal audit staff isetann department store manila
658,well company good training ground newbies rules regulations helps developing self discipline makes personality stronger,isetann department store,staff,manila,well company good training ground newbies rules regulations helps developing self discipline makes personality stronger staff isetann department store manila
659,fun place work management colleagues easy get along however theres time get sleepy bcs store quiet time time even weekends,isetann department store,sales assistant,orchard,fun place work management colleagues easy get along however theres time get sleepy bcs store quiet time time even weekends sales assistant isetann department store orchard
660,good company work employee get lot experiences working company teach employee communicate confident front people,isetann department store,customer service,kuala lumpur,good company work employee get lot experiences working company teach employee communicate confident front people customer service isetann department store kuala lumpur
661,boost self confidence stepped field teained figure stocks opening rhe day really fun,isetann department store,assistant sales,kuala lumpur,boost self confidence stepped field teained figure stocks opening rhe day really fun assistant sales isetann department store kuala lumpur
662,first job learning stepping stone able experience accounting field able productive services salary high since first job experience eagerness better job opportunity main reason leave company,isetann department store,credit clerk,manila,first job learning stepping stone able experience accounting field able productive services salary high since first job experience eagerness better job opportunity main reason leave company credit clerk isetann department store manila
663,working company ’ easy especially first job trainee became assistant supervisor finishing college philippines first 2 weeks assistant supervisor really hard senior supervisor resigning time 1month teach everything thankful learnt lot things especially independent handling lot departments men ’ apparelsshoesintimate ladies handbag ladies shoes including cash counter failed handling first store promotion ’ stop learning mistakes really good experience working company ’ learnt lot want enhance knowledge different areas customer relations others,isetann department store,sales executive,singapore,working company ’ easy especially first job trainee became assistant supervisor finishing college philippines first 2 weeks assistant supervisor really hard senior supervisor resigning time 1month teach everything thankful learnt lot things especially independent handling lot departments men ’ apparelsshoesintimate ladies handbag ladies shoes including cash counter failed handling first store promotion ’ stop learning mistakes really good experience working company ’ learnt lot want enhance knowledge different areas customer relations others sales executive isetann department store singapore
664,getting work head office one biggest chain department store philippines really big challenge everybody start career lucky part big responsibilities,isetann department store,finance and budget analyst,manila,getting work head office one biggest chain department store philippines really big challenge everybody start career lucky part big responsibilities finance and budget analyst isetann department store manila
665,isetann dept store supermarket good company would given chance work ’ grab opportunity isetann dept store supermarket best comes benefits,isetann department store,cash register clerk,quezon city,isetann dept store supermarket good company would given chance work ’ grab opportunity isetann dept store supermarket best comes benefits cash register clerk isetann department store quezon city
666,good place work good experience store good learning experience csutomers come different parts world best willing work,isetann department store,assist store staff,philippines,good place work good experience store good learning experience csutomers come different parts world best willing work assist store staff isetann department store philippines
667,obtain challenging position one require develop knowledge skills allow exposure career advancement foreseeable future lot experience learned enjoying work,isetann department store,stock man,carriedo,obtain challenging position one require develop knowledge skills allow exposure career advancement foreseeable future lot experience learned enjoying work stock man isetann department store carriedo
668,experiences gained company self discipline patience needed productive effective workplace still best job passion times,isetann department store,hr staff,manila,experiences gained company self discipline patience needed productive effective workplace still best job passion times hr staff isetann department store manila
669,learned handle customer complain learned make useful interesting promo leaned also coordinate different department like make promo need coordinate budgeting departmentauditoradmin store manager implementing promo hard enjoy also organized mini concert sale also organized competition,isetann department store,department secretary,philippines,learned handle customer complain learned make useful interesting promo leaned also coordinate different department like make promo need coordinate budgeting departmentauditoradmin store manager implementing promo hard enjoy also organized mini concert sale also organized competition department secretary isetann department store philippines
670,ict department able handle people care supported top management problems handled head easily denied approvals without analyzing situation,isetann department store,it-officer,manila,ict department able handle people care supported top management problems handled head easily denied approvals without analyzing situation it-officer isetann department store manila
671,interesting learn various produces niigata especially desertssnacks well famous rice preparing samples also interesting experience though stand throughout day exhausting,isetann department store,events promoter,orchard,interesting learn various produces niigata especially desertssnacks well famous rice preparing samples also interesting experience though stand throughout day exhausting events promoter isetann department store orchard
672,learn communicate properly people specially customer good employee coworker peopleretail industry one best place meeting kind person meet also develop self confidence,isetann department store,sales assistant,cubao,learn communicate properly people specially customer good employee coworker peopleretail industry one best place meeting kind person meet also develop self confidence sales assistant isetann department store cubao
673,isetanngive best experience working together counter coordinator friendly environment enjoyed working different person also way manage,isetann department store,cash register clerk,recto,isetanngive best experience working together counter coordinator friendly environment enjoyed working different person also way manage cash register clerk isetann department store recto
674,long hours work learned communicate difficult peoplegood managementthe hardest part fail finish reportthe enoyable manager nice team,isetann department store,customer service representative,manila,long hours work learned communicate difficult peoplegood managementthe hardest part fail finish reportthe enoyable manager nice team customer service representative isetann department store manila
675,make lot friends however lack career progression also work schedule extremely tight told work 14 days straight without days sales period,isetann department store,retail assistant,jurong east,make lot friends however lack career progression also work schedule extremely tight told work 14 days straight without days sales period retail assistant isetann department store jurong east
676,got adjust new time schedule office 8am left 5pm since previous jobs flexible time schedule truly learned time,isetann department store,expense processing clerk,"manila, philippines","got adjust new time schedule office 8am left 5pm since previous jobs flexible time schedule truly learned time expense processing clerk isetann department store manila, philippines"
677,challenging experience learned work multi tasking sure correctly fun also suggest think better dept also good relationship manager,isetann department store,check preparation clerk,manila philippines,challenging experience learned work multi tasking sure correctly fun also suggest think better dept also good relationship manager check preparation clerk isetann department store manila philippines
678,isetan learnt cashiering customer service stock take hardest part job face nasty customer overall isetan good company work,isetann department store,customer service officer,serangoon,isetan learnt cashiering customer service stock take hardest part job face nasty customer overall isetan good company work customer service officer isetann department store serangoon
679,enjoy working good environment also learn lot thing work serves customer,isetann department store,customer service representative,kuala lumpur,enjoy working good environment also learn lot thing work serves customer customer service representative isetann department store kuala lumpur
680,good communication skills fast learner always believe hands practical solutions highly motivated strong desire excellence always open new ideas improvement,isetann department store,sales escutive,new york,good communication skills fast learner always believe hands practical solutions highly motivated strong desire excellence always open new ideas improvement sales escutive isetann department store new york
681,daily task job serve customer collect money lovely customer job meet different kind people per day learn good communication also provide best services customer hardest part job way interaction communication different kind people although customer would like ask question give best explanation sometime seek help supervisor enjoyable part job good feedback customer,isetann department store,sales promoter,kuala lumpur,daily task job serve customer collect money lovely customer job meet different kind people per day learn good communication also provide best services customer hardest part job way interaction communication different kind people although customer would like ask question give best explanation sometime seek help supervisor enjoyable part job good feedback customer sales promoter isetann department store kuala lumpur
682,previous job sometimes would go time make sure complete task done perfection show work everyday never absent give best cooperative work,isetann department store,general helper- displayer,manila,previous job sometimes would go time make sure complete task done perfection show work everyday never absent give best cooperative work general helper- displayer isetann department store manila
683,improve leadership skills improve sales marketing skills improve service skills learn attract customer come satisfy shopping retail store,isetann department store,supervisor,"the garden, mid valley, kuala lumpur","improve leadership skills improve sales marketing skills improve service skills learn attract customer come satisfy shopping retail store supervisor isetann department store the garden, mid valley, kuala lumpur"
684,busy workingdays everyday ive learned responsible aware nice co workers care management hardest part job none coz enjoyed job never feel tired infact fun works whe customer smilled assist,isetann department store,cashier,quezon city,busy workingdays everyday ive learned responsible aware nice co workers care management hardest part job none coz enjoyed job never feel tired infact fun works whe customer smilled assist cashier isetann department store quezon city
685,inventory making purchase order item communitating supplier counting item assigned talking stock clerk status item,isetann department store,merchandising clerk,recto manila,inventory making purchase order item communitating supplier counting item assigned talking stock clerk status item merchandising clerk isetann department store recto manila
686,im counter checker need check money box partner cashier need drop money clean counter hard working isetann department store,isetann department store,counter checker,quiapo,im counter checker need check money box partner cashier need drop money clean counter hard working isetann department store counter checker isetann department store quiapo
687,working isetann department gives opportunity gather experience learned differentworking well big environment help improved performing well providing customer satisfaction,isetann department store,cashier/retail sales/customer service,metro manila philippines,working isetann department gives opportunity gather experience learned differentworking well big environment help improved performing well providing customer satisfaction cashier/retail sales/customer service isetann department store metro manila philippines
688,learned experience lot always listen workmates older stayed company longer good follower good leader,isetann department store,buyer trainee,manila,learned experience lot always listen workmates older stayed company longer good follower good leader buyer trainee isetann department store manila
689,good environment learned interact customer management strict co workers kind hardest part cut enjoyable part breaktime,isetann department store,timekeeper,manila,good environment learned interact customer management strict co workers kind hardest part cut enjoyable part breaktime timekeeper isetann department store manila
690,quite fun experience working retail excitement dealing customers need feeling accomplished delivered quality service made customer feel happy satisfied ive learned lots things eg 1 patience dealing customers 2 know understand needs 3 boss customers,isetann department store,sales supervisor,serangoon,quite fun experience working retail excitement dealing customers need feeling accomplished delivered quality service made customer feel happy satisfied ive learned lots things eg 1 patience dealing customers 2 know understand needs 3 boss customers sales supervisor isetann department store serangoon
691,gives knowldege customer sales customer satisfaction management considerable co co workers cooperative hard working hardest part job working long hours,isetann department store,saleslady/ cashier,manika,gives knowldege customer sales customer satisfaction management considerable co co workers cooperative hard working hardest part job working long hours saleslady/ cashier isetann department store manika
692,productive fun workplace comfortable good environment challenging hope ill find better salary enough,isetann department store,marketing secretary,manila,productive fun workplace comfortable good environment challenging hope ill find better salary enough marketing secretary isetann department store manila
693,received processed cash credit payments instore purchases maintained friendly professional customer interactions maintaining upto knowledge makeup beauty products working quickly accurately time pressure conditions understanding makeup clientscustomers interacting,isetann department store,sales associate,singapore,received processed cash credit payments instore purchases maintained friendly professional customer interactions maintaining upto knowledge makeup beauty products working quickly accurately time pressure conditions understanding makeup clientscustomers interacting sales associate isetann department store singapore
694,nice managementnice coworkersovertime payno pressure learned different products philippines hardest part time inventory arrives,isetann department store,warehouse personnel,manila,nice managementnice coworkersovertime payno pressure learned different products philippines hardest part time inventory arrives warehouse personnel isetann department store manila
695,6 days work weekly one day learned manage atleast section experience though id work 9 months learned handle people one superior learned retail industry manage handle problems situations met friends knowing pleasure even though different personalities mingling best easy jobs always hard partit pressured sales manager angry part work enjoyed even though hard id better think enjoyable rather think hard keeping pressure,isetann department store,stock clerk,manila,6 days work weekly one day learned manage atleast section experience though id work 9 months learned handle people one superior learned retail industry manage handle problems situations met friends knowing pleasure even though different personalities mingling best easy jobs always hard partit pressured sales manager angry part work enjoyed even though hard id better think enjoyable rather think hard keeping pressure stock clerk isetann department store manila
696,fun learned things lot friendly environment cope things youve never done like carrying replenish clothing getting salary time,isetann department store,retail assistant,"quezon city, ph","fun learned things lot friendly environment cope things youve never done like carrying replenish clothing getting salary time retail assistant isetann department store quezon city, ph"
697,check display make sure clean regular learn detail scope visual display work organized strict management,isetann department store,visual merchandising display,"kuala lumpur, m14","check display make sure clean regular learn detail scope visual display work organized strict management visual merchandising display isetann department store kuala lumpur, m14"
698,kind work place say isetann good consume 8 hours per day always encounter pressure stress thats able learn manage time mange work systematically coworkers approachable helpful friendly hardest part job preparing monthly report submit said deadline enjoyable part job costing deductions,isetann department store,deduction clerk,"santa cruz, 04a","kind work place say isetann good consume 8 hours per day always encounter pressure stress thats able learn manage time mange work systematically coworkers approachable helpful friendly hardest part job preparing monthly report submit said deadline enjoyable part job costing deductions deduction clerk isetann department store santa cruz, 04a"
699,everyday typical learned patience cooperation management good coworkers supportive helpfulhardest part job working place far enjoyable part job plenty clients coming,isetann department store,sales clerk,"quezon city, phillippines","everyday typical learned patience cooperation management good coworkers supportive helpfulhardest part job working place far enjoyable part job plenty clients coming sales clerk isetann department store quezon city, phillippines"
700,learned patient good boss also understanding cooperative boss coworks give n take pollices hardest part job go bk home late comes promotion weeks enjoyable part 2 shift job,isetann department store,promoter,"kuala lumpur, m14","learned patient good boss also understanding cooperative boss coworks give n take pollices hardest part job go bk home late comes promotion weeks enjoyable part 2 shift job promoter isetann department store kuala lumpur, m14"
701,manager supportive disciplinary allows us enjoy work interact colleague comfortable way,isetann department store,cashier,manila,manager supportive disciplinary allows us enjoy work interact colleague comfortable way cashier isetann department store manila
702,typical day work wake morning smile enjoy company many different types people encountered like customers co employee manager supervisors help us teaching well hardest part job sometimes customer brave would always priority customer always right sometimes right enjoyable part job included company,isetann department store,cash register clerk,recto manila,typical day work wake morning smile enjoy company many different types people encountered like customers co employee manager supervisors help us teaching well hardest part job sometimes customer brave would always priority customer always right sometimes right enjoyable part job included company cash register clerk isetann department store recto manila
703,• entering data • operating equipment • administrative task duties • registering deliveries making follow ups stocks needeed,isetann department store,encoder,manila philippines,• entering data • operating equipment • administrative task duties • registering deliveries making follow ups stocks needeed encoder isetann department store manila philippines
704,working environment good people willing give hands need learned dedicated work patience every aspect job,isetann department store,admin staff,"manila, p00","working environment good people willing give hands need learned dedicated work patience every aspect job admin staff isetann department store manila, p00"
705,sales assistant gained many interpersonal experiences also dealt customer service opportunity cashier learn various payments accepted enjoyed tending customers hardest part job taxing feet whole day,isetann department store,sales assistant,tampines mall,sales assistant gained many interpersonal experiences also dealt customer service opportunity cashier learn various payments accepted enjoyed tending customers hardest part job taxing feet whole day sales assistant isetann department store tampines mall
706,part time employee company due review lessons start early 8am 12noon incharge monitoring daily expenses mostly carry secretarial works like attending phone calls greeting visitors general administrative duties etc coworkers fun work didnt dull moments entire stay even though short period time case hard go work every morning attend review classes afternoon enjoyed part ive learned lot applied study practical,isetann department store,accounts assistant and secretary,"manila, philippines","part time employee company due review lessons start early 8am 12noon incharge monitoring daily expenses mostly carry secretarial works like attending phone calls greeting visitors general administrative duties etc coworkers fun work didnt dull moments entire stay even though short period time case hard go work every morning attend review classes afternoon enjoyed part ive learned lot applied study practical accounts assistant and secretary isetann department store manila, philippines"
