id,string_remove_stopwords,company_lower,occupation_lower,place_lower,keywords_combined
2975,place working keeps people motivated always go extra mile customer managers cool managements cool hardest part job nothing every job pressure one blame enjoyable part team mates,singtel,customer service representative,klang,place working keeps people motivated always go extra mile customer managers cool managements cool hardest part job nothing every job pressure one blame enjoyable part team mates customer service representative singtel klang
2976,answering incoming outgoing calls singapore cutomers port port activation deactivation services nd etc,singtel,customer care officer,klang,answering incoming outgoing calls singapore cutomers port port activation deactivation services nd etc customer care officer singtel klang
2977,overall good working place environment good able learn seniors extremely helpful every aspect customer handling troubleshooting,singtel,email resolution executive,klang,overall good working place environment good able learn seniors extremely helpful every aspect customer handling troubleshooting email resolution executive singtel klang
2978,great place work friendly staff good management benefits 3 months fair starting wage senior staff open new ideas listen staff busy place job security cons nothing negative time advice management keep great work,singtel,customer service officer,klang,great place work friendly staff good management benefits 3 months fair starting wage senior staff open new ideas listen staff busy place job security cons nothing negative time advice management keep great work customer service officer singtel klang
2979,everyday good day learned independentenergetic salary late per promised datemay delays least 4x year comments staffsvery cooperating helpful enjoy day time everyday sunday,singtel,customer service,"klang, m10","everyday good day learned independentenergetic salary late per promised datemay delays least 4x year comments staffsvery cooperating helpful enjoy day time everyday sunday customer service singtel klang, m10"
2980,graduated school tough 18 years old understand work environment management make easy learn develop skill customer service department,singtel,customer service helpdesk,kuala lumpur,graduated school tough 18 years old understand work environment management make easy learn develop skill customer service department customer service helpdesk singtel kuala lumpur
2981,office hours work basically learn customer sales service communicate customer selling customer upgrading products friendly management help anytime usually activities hardest part job handling singaporean customers enjoyable part wouldnt know time running fun working,singtel,inbound sales agent,kuala lumpur,office hours work basically learn customer sales service communicate customer selling customer upgrading products friendly management help anytime usually activities hardest part job handling singaporean customers enjoyable part wouldnt know time running fun working inbound sales agent singtel kuala lumpur
2982,working pressure nothing new faith learn new product tasks quickly task planning adaptability multitasking strong points selfmotivated timely good schedule adherence definitely must terms managing staff,singtel,,kuala lumpur malaysia,
2983,singtel thought lot gain lots benefits working place colleagues super friendly helpful hardest part job sometimes need work long hours due high rate calls enjoyable part job getting know variety culture one environment,singtel,executive customer service,"kuala lumpur, m14","singtel thought lot gain lots benefits working place colleagues super friendly helpful hardest part job sometimes need work long hours due high rate calls enjoyable part job getting know variety culture one environment executive customer service singtel kuala lumpur, m14"
2984,good working environment multicultural workers every walks life learnt lot telecommunications industry,singtel,senior sales executive,kualalumpur,good working environment multicultural workers every walks life learnt lot telecommunications industry senior sales executive singtel kualalumpur
2985,great working singtel frens make feel alive well singtel employers enjoyed working much cheerfull leaders,singtel,customer care officer,malaysia,great working singtel frens make feel alive well singtel employers enjoyed working much cheerfull leaders customer care officer singtel malaysia
2986,expert service great provider consider signing signtel always kind good feedback provided anytime great people contact,singtel,sales executive,melbourne vic,expert service great provider consider signing signtel always kind good feedback provided anytime great people contact sales executive singtel melbourne vic
2987,enjoyed working within team culture learned lot sales customer service found day flew two days,singtel,sales customer service,"melbourne, vic","enjoyed working within team culture learned lot sales customer service found day flew two days sales customer service singtel melbourne, vic"
2988,good organization getting work privilege global team global vendor well good working environment good management team storngly supporting team get stuck anywhere,singtel,associate engineer,"new delhi, delhi","good organization getting work privilege global team global vendor well good working environment good management team storngly supporting team get stuck anywhere associate engineer singtel new delhi, delhi"
2989,department working indeed fast pace type people good hardworking working culture good director department approachable protective staff feels like home even though overtime,singtel,marcom executive,orchard,department working indeed fast pace type people good hardworking working culture good director department approachable protective staff feels like home even though overtime marcom executive singtel orchard
